,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BF.B,BIIB,BIO,BK,BKNG,BKR,BLK,BLL,BMY,BR,BRK.B,BSX,BWA,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,CPB,CPRT,CRL,CRM,CSCO,CSX,CTAS,CTLT,CTSH,CTVA,CTXS,CVS,CVX,CZR,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DOW,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,ENPH,EOG,EQIX,EQR,ES,ESS,ETN,ETR,ETSY,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLT,FMC,FOX,FOXA,FRC,FRT,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GNRC,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOLX,HON,HPE,HPQ,HRL,HSIC,HST,HSY,HUM,HWM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUMN,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MPWR,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLOK,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,NXPI,O,ODFL,OKE,OMC,ORCL,ORLY,OTIS,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PENN,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,POOL,PPG,PPL,PRGO,PRU,PSA,PSX,PTC,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TDY,TEL,TER,TFC,TFX,TGT,TJX,TMO,TMUS,TPR,TRMB,TROW,TRV,TSCO,TSLA,TSN,TT,TTWO,TWTR,TXN,TXT,TYL,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VFC,VIAC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VTRS,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WST,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XYL,YUM,ZBH,ZBRA,ZION,ZTS,rendimento,data
0,65.74,42.93,114.45,41.315,96.55,90.58,300.95,58.13,151.2,221.6,87.35,45.38,118.08,125.9,58.62,69.98,12.24,45.57,56.0,92.82,69.99,71.65,96.96,249.85,64.93,97.82,77.18,117.63,49.67,,10.88,69.8,174.48,140.21,136.36,1566.13,264.55,161.66,235.99,142.47,61.35,40.95,162.29,41.855,84.58,124.57,86.89,66.35,163.0,229.42,104.81,86.58,98.75,624.52,333.56,29.92,69.5,76.53,231.87,33.64,56.04,273.6,253.71,54.51,2178.0,36.11,521.5,40.09,52.13,107.21,193.73,28.72,48.94,121.41,68.27,37.07,64.17,,144.36,135.67,106.78,45.31,100.87,63.06,40.06,71.29,108.67,58.25,38.8,41.49,46.2,92.03,271.29,171.82,70.34,65.23,117.2,94.58,31.39,157.68,423.33,159.86,47.19,54.29,25.33,90.62,23.91,228.71,65.5,197.16,40.78,51.08,104.19,120.99,44.29,59.39,170.3,41.11,81.82,,102.91,69.83,125.11,40.5,66.56,52.22,189.72,135.33,71.25,96.53,101.2,44.14,100.32,100.33,23.65,22.22,33.418064,105.69,95.89,92.7,,241.73,27.1,92.86,105.4,80.16,62.79,36.33,103.06,73.18,117.98,37.88,144.77,80.13,112.05,65.52,148.09,102.08,66.41,4.15,118.17,420.79,61.71,60.25,239.69,75.03,81.59,29.94,54.18,42.453335,39.68,63.86,115.14,89.59,11.24,128.45,24.995,172.0,54.69,15.21,247.2,34.4,163.09,94.97,70.86,33.17,207.28,79.73,,,92.87,115.85,55.36,70.31,201.31,14.07,72.23,43.74,86.74,27.02,36.74,45.01,1017.33,1018.58,88.32,113.05,29.24,58.67,238.33,281.35,52.99,88.09,14.91,18.47,95.74,184.8,56.99,60.69,53.84,243.21,78.84,38.79,144.68,17.05,21.49,36.25,76.0,19.56,91.94,294.18,17.81,144.96,72.46,194.49,133.66,141.26,240.93,61.94,49.13,51.62,184.79,51.56,23.59,213.03,95.76,31.63,33.94,440.78,121.29,142.02,28.97,58.09,117.43,33.87,119.48,126.49,24.59,108.78,58.9,19.92,51.68,56.38,14.51,101.74,103.54,15.82,62.5,43.21,25.19,106.63,52.46,34.91,64.23,40.55,52.89,170.75,156.42,152.52,31.02,81.07,320.84,70.64,42.95,82.43,185.06,18.58,52.83,73.33,65.32,105.73,39.47,178.27,91.46,136.68,37.87,167.44,83.66,156.21,162.2,39.5,80.13,47.67,31.42,209.88,52.705,198.63,194.77,81.5,194.39,55.0,56.11,26.95,74.91,117.1,58.87,18.25,51.62,149.83,93.52,109.83,182.27,559.93,45.98,54.5,53.47,88.32,40.9775,39.29,312.46,24.39,68.39,27.79,31.45,322.04,38.67,166.14,31.0,143.47,66.58,106.75,61.62,224.9,3100.0,27.63,16.25,15.98,104.9,50.51,89.240005,60.22,73.66,45.67,256.07,,77.26,114.21,60.57,18.29,63.67,23.36,52.15,30.31,100.94,36.61,59.22,72.34,60.29,164.62,30.36,115.69,73.36,64.91,82.0,145.61,67.28,80.5,138.81,105.88,29.1,78.14,106.32,201.78,111.31,82.35,159.67,32.5,201.55,74.61,51.01,67.4,108.19,232.67,58.85,303.68,18.7,60.75,89.75,109.85,94.64,164.53,21.564445,264.19,80.85,64.68,120.15,160.23,57.57,55.68,43.85,122.55334,299.61,114.08,68.56,145.25,85.51,46.12,156.34,188.6,111.8,94.52,99.78,57.89,233.13,141.59,86.76,33.17,169.42,62.54,32.7,71.24,320.57,187.09,91.75,32.55,52.8,267.88,72.6,42.425,210.35,60.51,53.77,34.6,113.82,131.6,68.0,58.78,70.1,83.89,99.71,30.31,101.43,62.14,218.92,15.35,17.76,67.54,36.15,114.2,250.91,236.4,48.38,133.63,113.5,150.0,50.45,126.88,80.87,49.2,110.93,111.69,68.03,106.45,117.42,153.16,51.42,38.76,49.35,88.81,188.41,66.45,78.79,64.28,53.44,51.96,154.95,148.51,81.29,25.73,88.46,49.706665,59.16,88.21,19.75,36.78,186.19,46.84,64.24,77.75,50.34,72.9,87.1,115.17,134.83,54.75,83.48,2648.05,2018-04-30
1,61.92,43.54,128.62,46.7175,98.94,82.14,381.14,61.53,155.74,249.28,97.18,43.72,130.02,129.1,59.19,67.95,12.75,45.06,52.79,93.35,66.28,75.38,93.47,331.95,60.81,93.48,76.43,116.13,50.78,,13.73,73.03,179.62,138.63,138.37,1629.62,251.56,162.8,221.42,139.87,63.07,40.0,161.41,43.465,97.5,124.92,89.21,70.91,165.54,252.07,105.03,83.14,98.3,649.32,352.16,29.04,70.84,68.25,221.59,33.57,56.56,293.96,287.13,54.75,2108.92,34.59,534.23,36.95,52.62,115.45,191.53,30.39,48.78,121.77,66.69,37.06,52.09,,151.91,130.69,97.56,46.19,104.15,62.28,42.45,80.05,112.92,59.68,41.14,40.85,46.95,87.0,261.04,169.37,69.37,63.09,120.83,94.29,31.18,162.9,430.18,142.39,46.13,58.58,26.13,94.0,22.85,226.31,67.39,198.24,33.64,54.83,107.52,129.33,42.71,64.65,182.25,39.26,75.35,,105.62,63.39,124.3,45.2,64.19,54.05,192.33,149.51,73.86,87.48,106.53,42.21,99.28,99.47,21.09,19.77,29.433796,107.48,82.59,77.21,,251.48,28.12,87.41,102.43,77.16,66.84,41.57,92.11,87.99,130.91,37.72,142.61,76.73,113.96,62.16,149.44,104.31,70.84,5.73,117.81,396.85,63.99,57.08,239.03,76.58,80.91,32.34,56.7,45.77,41.39,74.48,121.03,96.25,11.55,120.76,26.615,191.78,56.17,16.9,249.12,34.42,173.11,102.22,72.6,30.58,199.35,87.09,,,99.6,118.89,61.18,72.69,201.71,14.08,67.4,42.29,84.83,27.17,42.7,50.09,1084.99,1100.0,90.79,111.16,27.98,60.09,225.88,308.99,49.74,86.75,14.87,18.23,103.14,186.55,60.42,77.18,52.33,221.07,80.71,37.89,147.91,15.24,22.03,35.89,69.2,21.63,90.04,290.98,17.65,141.31,70.89,208.21,138.68,122.13,272.44,68.27,49.28,55.2,201.6,53.5,22.6,241.27,98.93,32.87,33.29,459.67,132.74,143.7,27.32,64.8,128.1,33.56,125.06,119.62,26.64,107.01,64.39,19.44,58.74,57.48,15.46,113.23,100.85,16.68,68.92,43.0,24.33,107.15,48.87,33.91,60.06,41.3,51.74,180.59,150.47,156.26,31.77,85.04,314.54,66.29,41.42,95.01,198.18,18.22,51.08,80.61,63.75,112.12,42.63,190.12,93.56,135.36,37.27,160.01,97.38,141.94,170.57,39.27,86.32,45.99,31.45,204.04,50.5,213.65,222.87,80.37,197.23,51.16,55.74,27.49,79.03,131.81,59.53,21.43,50.14,162.57,98.84,107.34,172.08,550.74,57.59,58.65,52.34,91.86,41.4525,38.93,351.6,25.3,71.8,20.78,30.17,327.25,41.42,177.61,34.23,151.65,68.32,102.52,64.19,252.19,2990.54,23.58,15.45,15.03,114.0,53.3,103.97334,68.16,72.08,46.72,269.41,,84.2,105.47,65.58,18.41,62.23,23.97,52.98,34.08,100.25,35.93,55.8,73.17,62.09,170.9,30.25,117.5,74.33,64.35,79.54,143.41,43.64,79.61,142.92,100.92,27.32,73.16,96.84,211.84,116.49,86.24,160.0,36.01,193.1,82.07,58.12,80.25,104.98,225.29,58.08,300.32,18.24,63.68,96.56,134.58,102.81,175.41,22.12,275.79,78.88,67.43,124.82,158.07,56.67,55.62,43.56,126.41667,312.13,107.5,68.67,147.82,88.07,44.9,160.22,197.5,106.53,103.84,96.11,56.35,223.08,139.24,98.61,34.63,174.02,65.03,32.32,61.65,334.11,201.46,93.08,37.91,52.5,267.16,72.89,45.16,208.27,55.7,43.72,33.06,121.42,128.52,74.31,56.946003,67.47,87.54,112.08,34.7,111.91,66.58,231.62,18.92,20.9,69.59,36.47,114.98,246.91,241.51,38.81,142.76,116.12,159.57,49.99,130.72,81.16,50.37,121.2,127.74001,69.71,106.24,130.44,154.0,54.66,38.46,47.67,97.51,192.62,62.39,83.51,63.15,57.65,53.99,144.75,151.15,82.71,26.86,82.54,50.980003,58.88,93.0,19.89,37.33,196.01,45.52,68.11,81.24,43.81,70.4,81.33,111.51,153.51,54.81,83.7,2705.27,2018-05-31
2,61.84,37.96,135.7,46.2775,92.65,85.27,409.05,60.99,163.59,243.81,95.92,45.83,134.14,131.09,60.85,69.25,13.41,43.02,53.02,103.49,65.28,73.23,94.33,342.14,60.39,91.27,77.36,124.15,46.19,,14.99,72.16,184.59,139.88,144.17,1699.8,257.49,174.18,238.03,137.17,59.15,46.75,155.73,43.575,91.63,126.17,90.14,76.32,171.89,242.64,102.1,85.38,98.0,670.93,335.51,28.19,73.84,74.58,239.56,32.05,49.01,290.24,288.54,53.93,2027.09,33.03,499.04,35.55,55.34,115.1,186.65,32.7,43.16,125.42,66.92,35.73,48.83,,135.67,127.02,104.07,47.74,107.82,57.31,43.31,80.79,111.06,59.79,44.4,38.9,53.16,83.66,293.21,169.95,66.86,64.81,135.25,90.92,32.81,163.92,431.37,133.0,47.28,61.605,27.71,91.9,23.8,235.45,69.62,208.98,40.54,56.56,112.26,136.4,43.03,63.78,185.07,41.89,78.99,,104.84,64.35,126.43,39.1,68.18,49.54,197.76,139.8,70.41,98.6,109.94,41.0,98.68,104.81,27.5,25.5,33.477833,111.58,85.0,73.2,,282.17,29.03,107.06,103.63,79.08,69.44,43.96,80.61,94.98,141.02,36.26,140.33,77.98,125.11,63.27,142.69,99.96,69.14,6.73,124.43,429.89,63.69,58.61,239.07,74.74,80.79,42.19,56.15,48.52334,42.6,73.1,120.19,99.81,11.07,131.57,24.065,194.32,53.69,17.26,227.06,35.91,172.45,106.03,74.09,28.7,210.65,89.21,,,96.79,126.55,62.43,77.11,186.41,13.61,70.84,44.26,81.41,27.51,39.4,51.73,1115.65,1129.19,91.79,111.49,32.39,61.0,220.57,308.4,45.06,92.31,14.76,22.02,102.6,195.1,66.89,68.43,51.13,216.79,79.16,39.75,144.05,14.61,22.69,37.21,72.64,21.07,93.06,297.63,17.01,139.7,73.55,217.94,136.48,123.96,279.29,67.0,51.59,49.71,204.305,52.08,23.44,220.63,99.82,29.39,35.01,478.48,132.9,138.54,26.56,63.49,121.55,33.45,130.36,121.34,27.42,104.2,69.87,19.54,59.03,62.82,16.99,102.53,105.34,17.67,72.87,43.86,28.45,105.96,48.28,36.88,59.0,44.64,52.5,179.53,144.54,158.15,31.9,85.33,295.43,62.25,42.32,95.57,172.85,18.64,50.88,76.36,68.51,109.85,48.57,196.52,100.67,126.6,37.42,156.69,90.95,133.4,170.56,41.0,85.61,43.6,29.03,214.27,58.045,197.86,223.33,81.97,196.72,57.3,56.79,28.05,70.16,133.67,60.7,20.86,47.4,165.43,98.61,116.37,170.15,578.63,52.44,58.66,47.25,91.27,41.7575,37.71,391.43,26.28,79.68,20.65,30.93,307.7,43.4,172.47,30.7,150.87,78.53,102.89,62.5,236.9,2970.35,25.79,15.85,15.5,109.27,53.79,99.30667,69.83,76.27,44.06,273.57,,83.68,98.83,68.35,18.09,61.96,25.82,54.14,33.59,108.87,36.28,52.95,78.06,59.15,155.85,28.75,111.79,73.23,65.69,80.74,135.1,42.08,80.56,151.5,103.73,28.55,72.91,93.51,226.86,112.31,93.81,149.72,33.4,189.24,83.27,56.12,80.17,103.6,230.48,62.08,344.99,17.78,65.1,89.35,125.72,103.58,166.23,23.368893,275.91,84.75,68.36,125.03,165.12,48.85,51.1,42.45,135.85667,288.76,107.48,67.03,160.72,85.57,46.31,170.19,203.89,116.11,105.01,93.09,56.47,218.87,132.81,96.65,33.38,168.86,68.29,32.11,68.04,345.14,199.06,90.06,38.07,50.44,268.21,76.12,47.59,207.14,59.750008,46.71,32.84,116.09,122.34,76.49,68.590004,68.85,89.73,118.36,43.67,110.25,65.91,222.1,21.08,22.48,69.73,37.54,111.44,233.46,245.34,36.99,141.68,106.23,147.62,50.02,132.45,81.52,56.22,110.83,129.06,73.92,107.64,137.42,169.96,56.95,36.14,50.31,98.58,193.59,60.015,77.41,64.65,62.69,55.44,146.23,151.6,81.34,27.11,85.65,48.27334,57.02,99.29,20.33,36.46,167.34,45.68,65.26,82.73,43.77,67.38,78.22,111.44,143.25,52.69,85.19,2718.37,2018-06-29
3,66.04,39.54,141.23,47.5725,92.23,81.83,354.53,65.54,159.33,244.68,96.14,48.26,134.99,128.44,62.06,71.14,13.36,46.54,55.21,110.3,71.35,75.26,94.2,356.65,62.83,95.12,81.54,132.96,48.63,,18.33,77.8,196.55,145.67,148.24,1777.44,255.73,168.88,253.0,143.55,59.53,46.0,164.17,46.755,98.07,127.44,91.87,73.42,176.85,221.77,114.68,88.25,99.52,705.53,356.3,30.88,72.45,75.03,250.37,34.32,53.22,334.37,306.65,53.47,2028.72,34.58,502.76,38.97,58.75,112.98,197.87,33.61,46.02,125.53,71.89,36.71,49.95,,143.8,139.72,97.13,49.8,110.83,59.24,44.09,84.09,118.11,62.08,44.42,39.78,55.9,92.23,304.58,179.42,75.63,67.01,135.17,96.94,35.78,159.12,433.66,142.81,48.34,65.165,28.48,94.32,23.5,260.5,72.17,218.71,40.9,57.39,124.3,137.15,42.29,70.68,204.48,41.7,81.5,,109.97,64.86,126.27,42.85,71.71,54.42,206.31,144.79,71.41,98.15,107.72,43.7,102.58,113.56,26.58,24.55,31.435892,121.42,91.28,82.98,,262.66,29.12,106.94,108.54,81.62,70.28,45.01,84.74,95.13,128.75,33.45,140.7,78.93,125.5,66.63,134.94,103.62,72.28,5.95,128.94,439.28,65.43,60.72,240.45,83.17,81.28,40.86,56.09,47.483334,42.5,76.17,133.84,93.97,10.04,131.95,28.465,172.58,58.0,16.5,245.87,35.43,171.38,103.13,75.48,29.59,217.0,89.88,,,98.86,125.5,62.91,82.08,199.76,13.63,77.83,46.06,88.07,33.18,37.91,53.75,1217.26,1227.22,97.31,112.57,30.17,62.45,237.43,346.56,42.42,99.61,15.44,22.26,124.23,197.52,65.63,74.58,52.7,233.05,78.66,42.91,159.65,15.44,23.08,35.97,79.41,20.94,98.21,314.18,21.69,144.93,73.91,244.93,153.58,132.76,324.36,66.54,53.03,48.1,204.24,53.73,22.55,164.04,121.94,28.61,35.11,508.19,135.43,143.33,26.99,67.63,119.9,37.51,134.7,132.52,26.34,114.95,71.03,20.87,58.0,60.25,16.69,117.42,113.86,17.78,74.68,46.63,29.0,116.27,50.78,31.67,68.42,43.57,52.27,175.34,164.95,167.5,33.52,98.81,326.1,68.1,42.97,99.34,190.64,18.77,58.16,71.9,70.27,110.79,49.28,198.0,100.78,127.84,40.33,157.54,93.43,125.6,171.12,43.38,90.23,45.74,31.37,188.36,58.77,193.77,199.42,83.36,212.32,60.02,58.68,30.11,80.83,132.68,65.87,21.12,50.56,166.19,106.08,121.3,173.35,592.51,52.79,61.14,50.03,91.4,41.885,36.68,337.45,26.18,76.91,20.22,23.56,300.49,48.62,175.96,31.67,169.0,77.52,109.22,66.93,244.86,2759.43,26.19,15.3,15.07,95.34,55.77,97.86667,70.44,68.83,47.68,306.0,,83.93,106.25,69.02,18.23,65.72,25.9,51.56,32.05,115.0,39.93,58.08,80.88,60.01,169.05,28.49,112.9,79.18,65.62,86.3,144.83,44.65,80.43,153.25,110.66,28.77,80.52,100.91,217.83,123.34,91.91,153.52,34.07,189.27,82.14,64.09,81.76,112.76,218.35,63.63,368.01,18.61,75.76,91.59,134.98,105.78,187.56,24.417778,301.9,87.43,72.48,135.74,158.25,52.39,51.06,44.07,146.91,307.88,111.12,67.52,169.59,89.43,48.6,176.21,200.44,115.59,114.47,88.31,52.62,210.23,149.47,94.58,28.94,163.25,67.21,31.97,67.0,375.54,219.42,93.57,43.25,50.81,272.71,80.68,48.63,234.53,60.0,47.12,35.3,119.08,130.14,78.04,59.628002,57.65,98.51,113.02,31.87,111.32,68.27,224.99,18.74,19.97,80.4,38.48,122.1,244.39,253.22,39.73,149.89,119.89,148.8,53.01,136.74,92.07,52.67,118.35,112.0,71.92,110.62,145.23,175.05,56.38,37.31,51.64,110.32,197.27,67.62,70.15,66.37,62.6,57.29,131.1,159.42,90.0,29.75,89.23,50.54,57.98,109.65,20.16,34.18,166.78,46.86,72.07,81.51,48.11,76.56,79.29,125.52,137.93,51.7,86.48,2816.29,2018-07-31
4,67.54,40.48,164.03,56.9075,95.98,89.97,406.58,66.84,169.07,263.51,98.85,50.4,146.75,154.35,63.23,71.73,13.46,46.24,53.17,102.82,72.14,75.14,95.52,386.49,67.49,100.57,87.22,122.24,43.02,,25.17,76.96,199.81,141.96,149.12,2012.71,298.98,185.98,264.73,145.56,58.08,43.83,166.29,47.29,88.01,128.35,92.23,72.1,183.29,219.03,105.18,87.53,105.98,766.88,342.79,30.93,74.37,79.56,261.87,31.74,52.22,353.49,325.3,52.15,1951.55,32.97,479.06,41.88,60.55,135.14,208.72,35.56,43.77,130.45,71.24,36.75,52.19,,138.85,135.24,100.8,48.81,114.03,61.49,47.04,87.56,116.83,65.11,51.95,41.16,56.58,96.08,310.4,188.34,76.67,66.41,144.98,97.48,36.99,174.73,475.18,141.8,49.24,73.24,27.79,99.09,23.83,255.78,73.43,233.13,39.45,64.31,123.51,152.68,47.77,74.16,213.37,41.8,78.43,,114.02,75.24,118.46,48.05,70.77,58.48,210.38998,143.8,78.12,107.73,109.98,44.51,103.54,112.02,27.83,25.64,35.210987,124.28,80.51,85.87,,298.56,28.49,116.04,111.14,81.24,69.29,42.93,91.09,144.38,113.41,34.61,150.48,78.93,133.97,65.73,140.12,97.03,76.73,4.89,118.23,436.13,67.75,62.43,246.28,83.14,83.59,48.69,57.05,48.08,43.71,73.28,130.5,92.21,9.48,121.08,29.18,175.73,52.98,14.05,243.95,37.38,189.12,108.17,80.07,29.43,213.74,85.45,,,101.59,130.61,83.76,83.98,193.4,12.94,75.73,46.01,87.92,33.51,36.05,55.49,1218.19,1231.8,99.85,124.58,30.35,68.14,237.81,354.07,39.89,99.31,16.21,17.54,134.11,200.77,67.34,74.52,50.37,244.47,77.62,39.76,159.06,16.53,24.65,39.15,77.68,21.53,100.52,333.26,22.38,146.48,76.23,254.04,153.21,130.29,354.83,73.91,55.0,48.43,219.47,51.14,23.35,175.48,127.09,27.96,36.1,560.0,149.76,138.88,24.1,72.69,120.75,37.77,158.44,134.69,28.43,114.58,71.79,21.07,64.89,58.27,17.11,116.21,115.54,17.7,78.05,44.57,31.5,115.96,50.31,26.43,70.77,45.44,51.67,172.87,162.51,158.19,34.52,105.65,320.41,65.58,42.84,108.75,173.09,21.36,61.3,65.42,67.6,112.78,49.68,215.56,103.56,126.47,37.97,162.23,86.03,128.75,178.02,42.72,96.41,45.89,28.99,191.59,62.44,189.82,198.72,84.63,210.92,60.89,58.52,31.27,82.29,149.87,68.59,21.51,48.83,180.26,112.33,128.36,177.15,584.46,52.52,60.47,53.61,95.44,42.525,31.03,367.68,27.07,82.2,20.16,26.0,298.49,47.07,196.36,35.39,173.84,86.81,107.46,62.5,280.68,2668.45,21.72,13.6,13.07,93.14,58.57,101.6,65.91,69.32,48.58,335.42,,79.87,155.12,73.25,18.51,68.42,27.03,52.35,34.46,112.01,41.52,55.19,82.95,67.53,175.6,27.95,109.92,92.43,67.18,77.89,143.54,43.48,78.55,164.26,110.54,29.74,76.51,98.25,212.58,118.51,99.94,143.16,34.59,174.7,92.33,68.71,80.09,122.58,223.02,66.03,406.75,19.46,78.18,93.04,132.81,111.41,180.96,26.702225,298.37,95.78,73.36,131.7,155.23,53.45,50.79,40.11,151.86,322.75,103.38,63.16,176.78,102.14,43.78,183.03,207.05,116.08,114.42,86.91,53.54,208.2,140.53,91.3,31.67,169.43,74.82,31.94,66.74,350.0,237.26,91.68,41.19,51.66,247.43,87.5,54.985,239.1,66.040016,50.69,42.1,115.89,131.6,88.28,60.332,62.81,101.29,133.56,35.18,112.4,69.03,246.95,18.97,20.45,87.42,39.97,130.16,260.0,268.46,36.88,150.62,122.88,155.87,54.11,146.89,92.13,53.02,117.88,110.80001,77.0,119.09,158.61,184.4,59.87,39.13,54.37,108.32,189.48,68.56,63.24,67.58,66.71,58.48,124.98,147.27,90.9,29.59,95.86,52.173336,55.08,117.05,18.92,34.71,148.34,48.05,77.83,80.17,39.92,75.91,86.89,123.63,171.74,53.29,90.6,2901.52,2018-08-31
